city,year,weekofyear,total_cases
sj,2008,18,4
sj,2008,19,3
sj,2008,20,6
sj,2008,21,8
sj,2008,22,5
sj,2008,23,8
sj,2008,24,8
sj,2008,25,10
sj,2008,26,9
sj,2008,27,6
sj,2008,28,7
sj,2008,29,13
sj,2008,30,11
sj,2008,31,6
sj,2008,32,12
sj,2008,33,8
sj,2008,34,7
sj,2008,35,8
sj,2008,36,7
sj,2008,37,8
sj,2008,38,10
sj,2008,39,10
sj,2008,40,11
sj,2008,41,9
sj,2008,42,12
sj,2008,43,12
sj,2008,44,13
sj,2008,45,14
sj,2008,46,16
sj,2008,47,14
sj,2008,48,15
sj,2008,49,15
sj,2008,50,12
sj,2008,51,14
sj,2008,52,16
sj,2009,1,12
sj,2009,2,15
sj,2009,3,12
sj,2009,4,15
sj,2009,5,16
sj,2009,6,14
sj,2009,7,13
sj,2009,8,12
sj,2009,9,15
sj,2009,10,18
sj,2009,11,17
sj,2009,12,16
sj,2009,13,13
sj,2009,14,15
sj,2009,15,15
sj,2009,16,17
sj,2009,17,23
sj,2009,18,22
sj,2009,19,17
sj,2009,20,20
sj,2009,21,18
sj,2009,22,15
sj,2009,23,15
sj,2009,24,15
sj,2009,25,10
sj,2009,26,18
sj,2009,27,24
sj,2009,28,22
sj,2009,29,16
sj,2009,30,14
sj,2009,31,16
sj,2009,32,16
sj,2009,33,13
sj,2009,34,14
sj,2009,35,13
sj,2009,36,17
sj,2009,37,18
sj,2009,38,15
sj,2009,39,23
sj,2009,40,16
sj,2009,41,14
sj,2009,42,14
sj,2009,43,17
sj,2009,44,15
sj,2009,45,17
sj,2009,46,16
sj,2009,47,17
sj,2009,48,18
sj,2009,49,16
sj,2009,50,16
sj,2009,51,12
sj,2009,52,19
sj,2010,53,15
sj,2010,1,20
sj,2010,2,18
sj,2010,3,11
sj,2010,4,14
sj,2010,5,18
sj,2010,6,14
sj,2010,7,11
sj,2010,8,13
sj,2010,9,15
sj,2010,10,16
sj,2010,11,18
sj,2010,12,18
sj,2010,13,14
sj,2010,14,15
sj,2010,15,19
sj,2010,16,20
sj,2010,17,15
sj,2010,18,14
sj,2010,19,16
sj,2010,20,14
sj,2010,21,17
sj,2010,22,15
sj,2010,23,10
sj,2010,24,16
